,direccion_territorial,area_protegida,mes,adultos_nacionales_2011,ninos_y_estudiantes_2011,extranjeros_2011,extranjeros_residentes_2011,ninos_residentes_2011,adultos_residentes_2011,ninos_excentos_no_residentes_2011,adultos_excentos_no_residentes_2011,adultos_nacionales_2012,ninos_y_estudiantes_2012,extranjeros_2012,extranjeros_residentes_2012,ninos_residentes_2012,adultos_residentes_2012,ninos_excentos_no_residentes_2012,adultos_excentos_no_residentes_2012,adultos_nacionales_2013,ninos_y_estudiantes_2013,extranjeros_2013,extranjeros_residentes_2013,ninos_residentes_2013,adultos_residentes_2013,ninos_excentos_no_residentes_2013,adultos_excentos_no_residentes_2013,adultos_nacionales_2014,ninos_y_estudiantes_2014,extranjeros_2014,extranjeros_residentes_2014,ninos_residentes_2014,adultos_residentes_2014,ninos_excentos_no_residentes_2014,adultos_excentos_no_residentes_2014,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
0, CARIBE,CORALES ROSARIO,5,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,5,5,0
1, CARIBE,OLD PROVIDENCE,5,2,0,2,0,1,1,1,1,2,1,1,0,1,1,1,2,2,1,2,0,1,1,1,1,1,2,2,0,1,1,1,1,3,3,3,3,3,0
2, CARIBE,SIERRA NEVADA DE SANTA MARTA,5,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0
3, CARIBE,MACUIRA,6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0
4, ANDES OCCIDENTALES,LOS NEVADOS,3,4,3,2,1,0,0,0,2,4,3,2,1,0,0,0,2,4,3,1,0,0,0,0,1,3,3,1,0,0,0,1,1,4,4,4,4,4,3
5, ANDES OCCIDENTALES,OTUN QUIMBAYA,12,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,0
6, ANDES OCCIDENTALES,OTUN QUIMBAYA,5,2,0,1,0,0,0,0,2,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,2,2,2,1,0,0,2,0,0,2,2,2,2,2,0
7, CARIBE,MACUIRA,11,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
8, ANDES NORORIENTALES,TAMA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9, PACIFICO,GORGONA,1,2,1,1,0,0,0,0,1,1,1,1,0,0,2,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,2,2,2,2,2,2
10,  ORINOQUIA,TUPARRO,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11, CARIBE,OLD PROVIDENCE,7,3,2,2,0,1,1,1,2,3,2,2,0,1,2,1,2,3,2,2,0,1,1,1,1,3,1,2,0,1,2,1,1,3,3,3,3,3,0
12,  ORINOQUIA,TUPARRO,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,0
14,  ORINOQUIA,TUPARRO,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15, ANDES NORORIENTALES,GUANENTA FONCE,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0
16, ANDES OCCIDENTALES,GUACHAROS,4,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,2,1,2
17, ANDES NORORIENTALES,TAMA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,  ORINOQUIA,CHINGAZA,9,3,2,1,1,0,0,1,2,2,2,1,1,0,1,3,1,2,2,1,1,0,1,1,3,0,0,0,0,0,0,0,0,3,3,3,3,3,0
19,  ORINOQUIA,CHINGAZA,3,3,1,1,1,0,0,1,1,3,2,1,1,1,1,1,1,3,2,1,1,1,1,1,1,2,3,1,1,1,2,1,1,3,1,3,3,3,3
20,  ORINOQUIA,SUMAPAZ,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
21, ANDES NORORIENTALES,GUANENTA FONCE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
22, CARIBE,MACUIRA,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
23, ANDES OCCIDENTALES,COROTA,2,4,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,4,4,3,4,4,4
24, ANDES NORORIENTALES,TAMA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25, ANDES NORORIENTALES,IGUAQUE,7,2,2,1,1,0,0,0,0,2,2,1,1,0,1,1,1,2,2,1,0,0,0,0,1,2,2,1,0,0,0,0,1,2,3,3,3,2,0
26, PACIFICO,GORGONA,6,2,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,2,1,1,0,0,0,1,0,2,1,1,1,0,2,0,0,2,2,2,2,2,0
27, ANDES OCCIDENTALES,GALERAS,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
28, ANDES OCCIDENTALES,COROTA,4,4,0,2,0,0,0,0,1,4,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,4,4,4,3,4
29, CARIBE,COLORADOS,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,2
30, CARIBE,COLORADOS,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0
31, PACIFICO,MALPELO,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,1,0
32, PACIFICO,UTRIA,2,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,2,1,2,2,2
34, PACIFICO,MALPELO,9,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0
35, CARIBE,SIERRA NEVADA DE SANTA MARTA,4,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0
36,  ORINOQUIA,TUPARRO,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
