,class,family,key,kingdom,locality,month,order,phylum,scientificname,taxonkey,year,direccion_territorial,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
0,BRYOPSIDA,ORTHOTRICHACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,ORTHOTRICHALES,BRYOPHYTA,"ZYGODON REINWARDTII A.BRAUN, 1838",5281044,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
1,LILIOPSIDA,BROMELIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POALES,TRACHEOPHYTA,VRIESEA TEQUENDAMAE (ANDRA©) L.B.SM.,5288981,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
2,MAGNOLIOPSIDA,CUNONIACEAE,IGUAQUE,PLANTAE,IGUAQUE,5.0,OXALIDALES,TRACHEOPHYTA,WEINMANNIA L.,3032536,2003.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
3,LILIOPSIDA,BROMELIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POALES,TRACHEOPHYTA,VRIESEA FRAGRANS (ANDRA©) L.B.SM.,5287810,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
4,LILIOPSIDA,CYPERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POALES,TRACHEOPHYTA,UNCINIA HAMATA (SW.) URB.,5291985,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
5,LILIOPSIDA,CYPERACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POALES,TRACHEOPHYTA,UNCINIA PERS.,2717987,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
6,JUNGERMANNIOPSIDA,TRICHOCOLEACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,JUNGERMANNIALES,MARCHANTIOPHYTA,TRICHOCOLEACEAE,6127,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
7,BRYOPSIDA,HOOKERIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HOOKERIALES,BRYOPHYTA,"TRACHYXIPHIUM GLANDULIFERUM CHURCHILL & LINARES C., 1995",2669988,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
8,JUNGERMANNIOPSIDA,HERBERTACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,JUNGERMANNIALES,MARCHANTIOPHYTA,TRIANDROPHYLLUM SUBTRIFIDUM (HOOK.F. & TAYLOR) FULFORD & HATCHER,2689384,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
9,LILIOPSIDA,BROMELIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POALES,TRACHEOPHYTA,TILLANDSIA FENDLERI GRISEB.,2694600,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
10,LILIOPSIDA,BROMELIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POALES,TRACHEOPHYTA,TILLANDSIA DENUDATA ANDRA©,2695281,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
11,LILIOPSIDA,BROMELIACEAE,IGUAQUE,PLANTAE,IGUAQUE,12.0,POALES,TRACHEOPHYTA,TILLANDSIA DENUDATA ANDRA©,2695281,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
