;class;family;key;kingdom;month;order;phylum;scientificname;taxonkey;year;direccion_territorial
0;BRYOPSIDA;ORTHOTRICHACEAE;IGUAQUE;PLANTAE;6;ORTHOTRICHALES;BRYOPHYTA;ZYGODON REINWARDTII A.BRAUN, 1838;5281044;2001; ANDES NORORIENTALES
1;LILIOPSIDA;BROMELIACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;VRIESEA TEQUENDAMAE (ANDRA©) L.B.SM.;5288981;2002; ANDES NORORIENTALES
2;MAGNOLIOPSIDA;CUNONIACEAE;IGUAQUE;PLANTAE;5;OXALIDALES;TRACHEOPHYTA;WEINMANNIA L.;3032536;2003; ANDES NORORIENTALES
3;LILIOPSIDA;BROMELIACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;VRIESEA FRAGRANS (ANDRA©) L.B.SM.;5287810;2002; ANDES NORORIENTALES
4;LILIOPSIDA;CYPERACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;UNCINIA HAMATA (SW.) URB.;5291985;2002; ANDES NORORIENTALES
5;LILIOPSIDA;CYPERACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;UNCINIA PERS.;2717987;2002; ANDES NORORIENTALES
6;JUNGERMANNIOPSIDA;TRICHOCOLEACEAE;IGUAQUE;PLANTAE;12;JUNGERMANNIALES;MARCHANTIOPHYTA;TRICHOCOLEACEAE;6127;2002; ANDES NORORIENTALES
7;BRYOPSIDA;HOOKERIACEAE;IGUAQUE;PLANTAE;6;HOOKERIALES;BRYOPHYTA;TRACHYXIPHIUM GLANDULIFERUM CHURCHILL & LINARES C., 1995;2669988;2001; ANDES NORORIENTALES
8;JUNGERMANNIOPSIDA;HERBERTACEAE;IGUAQUE;PLANTAE;6;JUNGERMANNIALES;MARCHANTIOPHYTA;TRIANDROPHYLLUM SUBTRIFIDUM (HOOK.F. & TAYLOR) FULFORD & HATCHER;2689384;2001; ANDES NORORIENTALES
9;LILIOPSIDA;BROMELIACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;TILLANDSIA FENDLERI GRISEB.;2694600;2002; ANDES NORORIENTALES
10;LILIOPSIDA;BROMELIACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;TILLANDSIA DENUDATA ANDRA©;2695281;2002; ANDES NORORIENTALES
11;LILIOPSIDA;BROMELIACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;TILLANDSIA DENUDATA ANDRA©;2695281;2002; ANDES NORORIENTALES
12;LILIOPSIDA;BROMELIACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;TILLANDSIA RESTREPOANA ANDRA©;2694820;2002; ANDES NORORIENTALES
13;LILIOPSIDA;BROMELIACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;TILLANDSIA RESTREPOANA ANDRA©;2694820;2002; ANDES NORORIENTALES
14;BRYOPSIDA;THUIDIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;THUIDIUM PERUVIANUM MITTEN, 1869;2679471;2001; ANDES NORORIENTALES
15;BRYOPSIDA;THUIDIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;THUIDIUM PERUVIANUM MITTEN, 1869;2679471;2001; ANDES NORORIENTALES
16;BRYOPSIDA;THUIDIACEAE;IGUAQUE;PLANTAE;12;HYPNALES;BRYOPHYTA;THUIDIACEAE;4659;2002; ANDES NORORIENTALES
17;BRYOPSIDA;NECKERACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;THAMNOBRYUM FASCICULATUM (HEDW.) I.SASTRE;9043960;2001; ANDES NORORIENTALES
18;BRYOPSIDA;NECKERACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;THAMNOBRYUM FASCICULATUM (HEDW.) I.SASTRE;9043960;2001; ANDES NORORIENTALES
19;JUNGERMANNIOPSIDA;LEJEUNEACEAE;IGUAQUE;PLANTAE;7;PORELLALES;MARCHANTIOPHYTA;TAXILEJEUNEA PTERIGONIA (LEHM. & LINDENB.) SCHIFFN.;8311593;2001; ANDES NORORIENTALES
20;BRYOPSIDA;CALYMPERACEAE;IGUAQUE;PLANTAE;6;POTTIALES;BRYOPHYTA;SYRRHOPODON GAUDICHAUDII MONTAGNE, 1834;2670289;2001; ANDES NORORIENTALES
